centro_nv2;nps_tradicional;nps_ajustado;delta;faixa_trad;faixa_ajust;mudou_faixa;flag;alerta
L5134-GILBERTO SALOMAO;87.6229034123771;87.6229034123771;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5135-402 ASA SUL;89.21962992759454;89.21962992759454;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5136-RIB.PRETO ALTO DA BOA VISTA;84.84848484848484;84.84848484848484;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5138-306 ASA NORTE;86.09435970202199;86.09435970202199;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5139-SBC RUDGE RAMOS;86.70385867038587;86.70385867038587;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5140-OSASCO KM 18;91.6382252559727;91.6382252559727;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5141-ALTO TAQUARAL;90.70129870129871;90.70129870129871;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5142-MARILIA;91.55844155844156;91.55844155844156;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5143-AQUARIUS;89.07741251325557;89.07741251325557;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5144-EMBU DAS ARTES;87.95664391810519;87.95664391810519;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5145-TAMBORE;87.53541076487252;87.53541076487252;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5146-ITATIBA;92.26283048211509;92.26283048211509;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5147-ROLAND GARROS;90.54347826086956;90.54347826086956;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5148-PARQUE DO CARMO;87.17257318952234;87.17257318952234;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5149-ALTO DA MOOCA;84.7246891651865;84.7246891651865;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5150-ARARAQUARA;91.60280970625799;91.60280970625799;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5151-PINDAMONHANGABA;93.91304347826087;93.91304347826087;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5152-ALTO DA BOA VISTA;81.35945384387058;81.35945384387058;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5153-EMBARE;89.10457107075767;89.10457107075767;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5154-RIO CLARO;93.24079662039831;93.24079662039831;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5155-SUZANO;90.45545880776959;90.45545880776959;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5156-JARDIM PRUDENCIA;83.26673326673327;83.26673326673327;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5158-LEBLON;88.2582081246522;88.2582081246522;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5159-COTIA KM 39;83.44370860927152;83.44370860927152;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5160-GUARATINGUETA;93.31779331779332;93.31779331779332;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5161-ITANHAEM;89.38159879336351;89.38159879336351;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5163-TAQUARI;90.9438775510204;90.9438775510204;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5164-ITAPETININGA;93.4715821812596;93.4715821812596;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
